/
0,126.57,7.42
2,111.04,7.39
4,191.37,9.77
5,153.32,6.96
12,110.95,7.23
13,110.95,7.42
14,110.95,7.55
15,110.95,9.77
16,126.38,7.27
17,126.37,7.59
18,126.39,9.77
19,126.4,7.39
24,153.32,7.39
25,153.32,7.42
26,191.24,9.6
27,191.25,9.94
28,191.31,7.39
29,191.31,7.42
30,192.26,9.6
/
3,55.94,3.84
6,148.48,6.96
10,55.87,3.7
11,55.87,3.99
22,148.48,3.84
23,148.48,7.39
/
1,115.81,6.96
8,115.81,7.12
9,115.81,6.8
/
7,128.99,6.96
20,128.99,9.75
21,128.99,9.8
