/
318,54.31,5.18
319,54.24,3.68
320,54.22,4.18
321,54.14,7.25
322,54.13,3.84
323,54.1,4.15
324,54.1,3.81
325,54.09,7.23
365,19.23,3.46
/
72,59.5,1.41
116,38.14,2.35
117,38.07,2.37
118,38.03,2.82
138,33.81,2.36
142,32.46,2.24
143,32.31,2.36
144,32.29,2.26
150,31.19,1.11
303,59.47,1.41
304,59.43,1.11
331,38.09,1.41
332,38.08,1.11
339,31.16,1.41
340,31.14,1.11
344,30.16,1.43
358,24.26,2.36
/
18,78.15,3.63
31,72.48,4.66
34,70.5,3.64
35,69.98,3.58
37,68.9,3.57
38,68.84,3.63
49,66.33,3.64
96,47.56,3.33
97,47.51,3.26
268,78.33,3.33
274,72.62,3.33
275,70.02,3.63
/
120,36.87,1.99
170,27.22,2.01
176,25.79,1.99
177,25.71,1.31
186,22.38,2.03
187,22.34,0.97
237,166.06,2.0
238,166.06,2.02
328,43.35,0.97
356,25.58,0.97
362,22.33,0.97
/
41,68.1,3.65
42,68.01,5.14
51,66.03,5.13
53,65.22,5.15
70,61.15,3.66
279,68.12,2.86
300,61.02,2.86
/
15,95.6,4.75
16,90.67,4.74
30,72.9,4.76
/
196,19.68,0.84
327,45.66,0.83
333,37.12,0.84
/
22,76.77,7.26
23,76.68,5.76
/
114,38.37,2.87
115,38.23,4.6
/
4,129.91,7.04
/
11,125.75,7.75
/
24,75.81,5.86
/
94,48.15,3.29
/
126,35.91,2.63
/
163,28.73,1.25
/
192,21.34,2.0
/
193,20.68,2.04
/
195,19.94,2.04
/
200,15.33,1.81
/
201,15.05,1.77
/
204,13.68,1.82
/
205,13.23,0.88
/
206,12.91,1.83
/
210,11.86,1.81
/
212,11.19,1.83
/
213,10.92,0.92
/
215,0.98,0.07
/
218,176.57,2.03
/
220,175.53,2.03
/
221,173.02,2.31
/
228,169.55,2.08
/
231,167.36,1.85
/
250,134.91,3.83
/
292,64.6,1.89
/
312,57.62,3.16
/
317,55.67,2.08
/
349,28.96,0.89
/
354,27.48,2.18
/
355,26.41,0.91
