/
37,2.28,60.21
38,2.1,60.21
39,2.4,40.49
40,2.13,40.44
41,2.22,39.64
42,1.99,39.64
43,2.07,39.6
45,2.07,25.83
46,1.98,25.83
47,2.21,25.78
62,3.31,140.68
63,2.21,140.68
78,2.21,114.79
87,2.03,72.11
89,2.88,60.21
90,2.73,60.21
91,2.03,60.21
94,3.32,50.47
95,2.86,50.16
96,3.18,49.86
97,3.02,49.86
98,3.46,49.72
99,2.74,49.72
103,2.34,40.44
104,2.07,40.44
108,2.22,27.2
109,2.03,27.2
112,2.21,21.23
113,1.9,21.23
117,2.42,164.03
130,2.41,110.21
138,2.28,20.39
140,2.55,20.02
144,2.28,160.01
145,2.28,138.17
152,2.28,126.88
162,2.02,137.97
169,1.98,136.4
171,1.99,132.59
183,2.02,129.36
189,2.02,39.76
196,1.9,33.24
198,2.15,33.18
199,2.03,29.2
206,2.03,21.93
207,1.85,21.77
210,2.02,19.16
211,2.1,12.89
212,1.85,12.82
216,2.28,145.46
220,2.28,135.27
224,2.28,122.69
232,2.29,69.54
233,2.58,69.39
234,2.4,69.39
235,2.17,69.39
241,2.81,56.66
242,2.0,56.66
243,1.86,56.66
245,2.1,56.38
246,2.15,46.22
247,1.98,46.1
250,2.69,45.95
251,2.41,45.95
254,1.86,40.81
255,2.81,40.65
256,2.13,40.65
257,1.98,40.65
264,2.57,35.39
265,2.39,35.24
266,2.28,35.24
267,2.16,35.11
270,2.95,29.42
271,1.99,29.27
273,2.69,29.02
278,2.81,23.73
283,1.98,22.38
288,1.97,12.07
291,2.28,145.46
295,2.28,135.27
299,2.28,122.69
307,2.29,69.54
308,2.58,69.39
309,2.4,69.39
310,2.17,69.39
316,2.81,56.66
317,2.0,56.66
318,1.86,56.66
320,2.1,56.38
321,2.15,46.22
322,1.98,46.1
325,2.69,45.95
326,2.41,45.95
329,1.86,40.81
330,2.81,40.65
331,2.13,40.65
332,1.98,40.65
339,2.57,35.39
340,2.39,35.24
341,2.28,35.24
342,2.16,35.11
345,2.95,29.42
346,1.99,29.27
348,2.69,29.02
353,2.81,23.73
358,1.98,22.38
363,1.97,12.07
393,2.26,40.6
394,2.09,39.74
396,2.07,25.81
397,1.99,25.81
411,3.12,43.8
412,2.64,31.96
413,2.39,30.16
414,2.04,24.93
415,2.93,24.92
422,2.4,20.13
428,2.25,15.54
442,2.01,33.15
445,1.98,20.86
448,2.02,19.19
449,1.97,12.83
462,2.0,63.02
463,2.54,62.82
464,2.88,60.27
465,2.17,60.23
466,2.79,52.36
467,3.0,52.36
468,3.19,49.73
469,3.47,49.62
470,2.58,46.96
471,2.03,46.92
472,1.88,45.92
473,2.07,42.59
474,2.3,41.6
475,2.5,41.59
476,2.26,39.95
477,2.88,38.43
478,2.69,38.41
479,3.21,35.46
480,2.2,34.46
481,1.98,34.12
482,2.47,34.12
484,2.42,32.08
485,2.05,30.31
486,1.9,30.31
488,2.16,28.66
490,2.37,26.12
491,1.83,22.58
498,2.92,34.06
/
0,8.23,178.55
1,7.58,178.55
2,6.84,178.55
3,7.93,163.44
4,6.84,163.44
5,8.23,156.33
6,7.71,156.33
7,7.58,156.33
8,7.43,156.33
9,7.86,133.85
10,7.57,133.85
11,7.53,133.81
12,7.42,133.81
13,8.24,133.73
14,7.93,131.95
15,7.71,131.95
16,7.39,131.95
17,6.84,131.95
18,7.69,129.03
19,7.54,128.99
20,7.37,128.99
21,8.1,126.39
22,7.93,126.33
23,7.77,126.33
24,8.41,125.72
25,8.07,125.72
26,7.71,125.72
27,7.6,125.66
28,7.26,125.52
29,7.43,123.83
30,6.84,123.83
31,7.74,117.95
32,7.43,117.95
33,7.0,107.68
34,6.67,107.68
48,7.92,157.52
49,7.28,157.52
50,7.16,157.52
52,8.54,148.18
53,7.49,148.18
54,7.16,148.18
56,8.72,147.77
57,8.35,147.58
58,8.53,143.92
59,7.27,143.92
60,7.16,143.92
64,8.08,131.37
65,7.76,131.37
66,7.92,126.88
67,7.49,126.88
69,7.43,121.62
70,7.16,121.62
71,7.11,121.62
72,8.53,117.95
73,7.65,117.95
74,7.33,117.95
79,7.0,101.51
80,7.32,101.33
81,7.26,101.33
82,7.47,77.61
83,7.06,77.38
84,7.49,72.11
118,7.64,148.76
119,7.04,148.76
121,7.84,145.46
122,7.43,145.46
123,7.04,145.46
125,7.03,119.51
126,7.65,119.46
131,6.86,105.35
132,7.21,105.3
133,7.64,105.25
141,7.39,196.83
143,7.39,160.01
146,6.94,138.0
147,7.41,137.94
148,6.94,131.68
149,7.4,131.55
151,6.94,127.07
154,6.94,120.08
155,7.1,119.6
156,6.77,119.6
159,7.39,14.72
167,6.51,137.24
168,6.63,136.66
172,6.63,132.42
177,6.78,130.01
178,6.51,130.01
179,6.48,130.01
187,6.5,125.14
188,6.79,125.09
230,7.06,77.61
231,7.48,77.47
305,7.06,77.61
306,7.48,77.47
367,7.3,148.08
368,7.23,137.94
369,7.24,126.88
370,7.3,126.62
371,7.03,126.39
372,7.43,126.33
373,7.26,113.74
376,7.24,33.87
381,7.71,134.09
382,7.55,131.47
383,7.25,129.85
384,7.54,129.38
385,7.94,126.14
386,8.25,125.88
387,7.42,125.59
388,7.59,117.99
389,6.97,115.74
390,6.84,107.59
398,6.93,144.42
400,8.17,125.12
401,8.39,122.13
403,8.07,105.02
418,7.03,104.97
419,7.29,77.25
423,7.39,137.73
424,7.39,131.4
425,6.92,119.58
430,6.65,137.3
433,6.62,132.45
435,6.63,130.05
437,6.65,125.06
451,7.13,126.28
453,6.92,121.29
458,6.68,83.23
459,8.17,81.05
494,7.31,127.55
495,7.25,126.57
496,7.27,77.25
/
35,1.69,64.52
44,1.69,39.31
105,1.46,40.44
106,1.11,40.44
107,0.86,37.58
110,0.86,25.78
114,0.98,12.3
158,1.46,28.52
163,1.73,137.97
164,1.46,137.97
165,1.04,137.97
181,1.63,129.51
182,1.72,129.41
190,1.33,39.67
191,1.6,39.6
192,1.04,39.6
193,1.04,34.4
194,1.61,34.02
195,1.47,33.87
197,1.72,33.24
200,1.72,29.2
201,1.47,29.05
202,1.04,29.05
203,1.16,28.96
204,0.91,28.96
205,1.6,22.0
208,1.75,19.25
209,1.48,19.25
236,1.67,69.39
237,1.15,56.93
239,0.92,56.69
244,1.36,56.66
248,1.65,46.1
249,1.29,46.1
258,1.41,40.53
260,1.53,39.86
261,0.87,39.86
262,1.27,36.34
263,0.92,36.18
274,1.64,28.07
275,0.87,28.07
