HSQC
145.09	7.51
143.64	6.86
143.51	6.83
141.63	7.45
134.63	5.55
132.8	5.47
132.71	7.32
132.37	7.97
131.98	7.56
131.87	5.35
130.52	7.03
130.47	5.36
130.37	7.48
129.77	7.16
129.64	7.89
129.24	7.43
128.91	7.47
128.7	7.32
128.63	7.27
128.46	7.37
128.27	7.15
128.21	7.38
128.11	5.28
127.06	8.01
125.19	5.09
115.45	6.68
114.94	6.38
114.78	6.45
114.78	6.42
111.02	6.96
110.86	6.09
109.48	4.85
104	4.13
102.28	4.21
101.57	5.18
101.56	4.17
95.85	5.28
92.71	4.75
85.38	3.84
82.3	3.82
76.2	3.83
72.4	3.78
70.53	3.43
68.5	5.06
63.18	3.32
61.54	3.64
60.76	3.52
52.51	2.93
52.48	3.07
37.17	1.04
29.31	1.29
25.83	2.05
23.94	1.13
23.28	1.16
22.56	1.18
21.64	0.95
21.58	1.13
21.58	1
20.01	1.03
19.35	0.87
17.97	0.95
16.54	0.74
15.82	0.81
-7.66	-0.05
-0.58	9.98
0.6	0
12.3	0.51
12.25	0.84
12.57	0.78
13.21	0.74
14.39	0.85
14.51	0.92
15.77	0.88
16.32	1.55
16.74	0.84
17.5	1.25
17.97	0.81
18.08	0.89
18.36	1.13
19.36	0.78
19.33	0.92
20.05	0.82
20.31	2.03
20.41	2.02
21.12	2.04
21.46	0.82
21.77	1.89
22.53	1.26
22.98	0.84
23.26	-0.44
23.18	1.82
23.58	1.5
23.59	1.62
23.96	1.68
24.88	1.49
25.61	2.77
25.79	1.9
25.77	2.17
27.05	2.01
28.01	1.08
28.67	1.1
29.23	-0.78
29.38	-0.95
29.39	1.23
30.47	1.15
30.37	2.05
31.73	1.22
31.88	2.19
32.22	1.97
32.38	1.36
32.98	2.24
33.93	2.26
34.26	2.17
35.23	2.25
36.19	2.36
36.26	2.71
37.08	1.21
37.3	2.51
37.48	2.5
37.76	3.02
38.28	2.51
38.47	2.5
38.38	2.53
38.75	2.51
39.17	2.51
39.24	2.69
39.34	2.49
39.64	2.39
39.76	2.78
40.08	2.51
40.17	1.77
40.14	1.8
40.18	2.43
40.26	2.5
40.13	2.54
40.18	2.57
40.17	2.6
40.22	2.72
40.26	3.21
40.33	1.79
40.34	2.67
40.62	2.53
40.69	3.07
41.01	2.51
40.93	2.54
41.2	2.49
41.39	2.51
41.59	2.5
42.59	2.32
42.58	2.45
42.57	2.47
43.8	3.17
44.65	10.74
45.26	3.17
46.26	3.17
46.76	3.17
47.23	3.14
47.26	3.17
47.75	3.17
48.18	3.17
48.11	4.35
49.04	2.43
49.05	2.46
49.04	3.17
48.99	3.2
49	3.24
49.07	3.88
49.38	0.35
49.87	3.17
50.21	3.14
50.34	3.17
50.81	3.17
51.2	3.14
51.29	3.43
51.65	3.14
52.53	-0.88
52.5	2.43
52.49	3.14
52.56	3.68
52.48	3.85
52.81	3.17
53.34	3.14
53.62	3.11
54.28	3.14
54.28	3.17
54.45	3.11
54.77	3.14
55.26	3.14
55.57	3.83
55.77	3.14
56.27	3.74
57.36	3.77
57.76	3.14
57.94	3.92
58.75	4.02
59.6	3.33
60.11	3.05
61.01	3.48
61.36	3.44
61.46	3.43
61.52	3.65
62.5	3.55
62.64	3.41
62.81	4.09
62.85	4.3
62.86	5.24
62.97	3.73
63.43	3.35
64.36	3.56
64.87	3.56
65.2	3.97
65.36	3.56
65.79	3.56
66	3.52
66.11	3.82
66.65	3.56
67.43	3.39
67.52	3.56
67.94	3.56
68.5	3.63
68.94	3.56
69.23	3.7
69.91	3.56
70.25	3.85
70.57	3.04
70.49	3.99
70.44	5.09
70.72	3.63
70.6	5.08
70.78	3.48
70.98	3.28
70.96	5.06
71.34	3.77
71.48	3.48
71.52	3.63
71.92	3.58
72.96	2.97
73	3.61
73.26	3.48
73.74	3.27
73.97	2.92
73.99	2.99
74.71	2.97
74.94	3.77
75.41	3.44
75.57	2.96
75.67	3.33
75.76	3.6
76.38	3.74
76.49	2.97
77.25	3.07
77.51	3.88
77.63	4.19
77.96	4.09
84.39	3.5
92.19	5.18
95.05	6.82
96.96	6.97
97.46	4.27
98.84	5.55
99.95	4.68
99.88	6.46
100.47	4.89
101.24	4.22
102.32	5.3
104.39	4.08
109.17	5.67
109.62	5.73
114.87	6.57
115.33	6.74
115.96	6.93
116.2	6.8
117.71	5.12
126.29	7.12
128.25	5.32
128.32	7.21
130.19	5.32
130.71	7.55
131.15	7.79
131.14	7.9
131.17	7.98
132.17	7.59
133.1	7.69
145.15	7.55
147.34	8.67
165.77	8.4
